Pavadinimas,Metai,Kėbulo tipas,Kaina,Kuras,Pavarų dėžė,Variklis,Rida,Miestas,Nuoroda
BMW 525,2011-05,Universalas,8 550 €,Dyzelinas,Automatinė,"3.0 l., 150 kW",315 000 km,Klaipėda,https://autoplius.lt/skelbimai/bmw-525-3-0-l-universalas-2011-dyzelinas-29447196.html
BMW 525,2014,Universalas,8 700 €,Dyzelinas,Automatinė,"2.0 l., 160 kW",307 168 km,Vilnius,https://autoplius.lt/skelbimai/bmw-525-2-0-l-universalas-2014-dyzelinas-28768747.html
BMW 525,2012-06,Universalas,8 999 €,Dyzelinas,Automatinė,"2.0 l., 160 kW",279 120 km,Marijampolė,https://autoplius.lt/skelbimai/bmw-525-2-0-l-universalas-2012-dyzelinas-29668455.html
BMW 525,2012-07,Universalas,9 500 €,Dyzelinas,Automatinė,"2.0 l., 160 kW",275 000 km,Ukmergė,https://autoplius.lt/skelbimai/bmw-525-2-0-l-universalas-2012-dyzelinas-28931665.html
BMW 525,2013-09,Sedanas,9 500 €,Dyzelinas,Automatinė,"2.0 l., 160 kW",299 000 km,Tauragė,https://autoplius.lt/skelbimai/bmw-525-2-0-l-sedanas-2013-dyzelinas-29969461.html
BMW 525,2013-08,Universalas,9 900 €,Dyzelinas,Automatinė,"2.0 l., 160 kW",289 125 km,Marijampolė,https://autoplius.lt/skelbimai/bmw-525-2-0-l-universalas-2013-dyzelinas-30033729.html
BMW 525,2011-03,Sedanas,10 990 €,Dyzelinas,Automatinė,150 kW,299 000 km,Vilnius,https://autoplius.lt/skelbimai/bmw-525-sedanas-2011-dyzelinas-29969371.html
BMW 525,2014-08,Sedanas,11 350 €,Dyzelinas,Automatinė,"2.0 l., 160 kW",170 000 km,Marijampolė,https://autoplius.lt/skelbimai/bmw-525-2-0-l-sedanas-2014-dyzelinas-29902540.html
BMW 525,2016-11,Universalas,13 200 €,Dyzelinas,Automatinė,"2.0 l., 160 kW",245 000 km,Vilnius,https://autoplius.lt/skelbimai/bmw-525-2-0-l-universalas-2016-dyzelinas-30019551.html
BMW 525,2016-09,Universalas,13 650 €,Dyzelinas,Automatinė,"2.0 l., 160 kW",270 000 km,Prienai,https://autoplius.lt/skelbimai/bmw-525-2-0-l-universalas-2016-dyzelinas-29884786.html
BMW 525,2017-08,Universalas,17 555 €,Dyzelinas,Automatinė,"2.0 l., 170 kW",250 000 km,Prienai,https://autoplius.lt/skelbimai/bmw-525-2-0-l-universalas-2017-dyzelinas-29969017.html
BMW 525,2017-11,Universalas,23 700 €,Dyzelinas,Automatinė,"2.0 l., 170 kW",163 000 km,Skaudvilė,https://autoplius.lt/skelbimai/bmw-525-2-0-l-universalas-2017-dyzelinas-28688555.html
BMW 525,2000-11,Universalas,1 950 €,Benzinas,Automatinė,"2.5 l., 141 kW",303 932 km,Marijampolė,https://autoplius.lt/skelbimai/bmw-525-2-5-l-universalas-2000-benzinas-29123749.html
BMW 525,2004-07,Universalas,2 000 €,Dyzelinas,Automatinė,"2.5 l., 130 kW",391 690 km,Klaipėda,https://autoplius.lt/skelbimai/bmw-525-2-5-l-universalas-2004-dyzelinas-30029169.html
BMW 525,2001-09,Sedanas,2 200 €,Dyzelinas,Automatinė,"2.5 l., 120 kW",363 819 km,Vilnius,https://autoplius.lt/skelbimai/bmw-525-2-5-l-sedanas-2001-dyzelinas-30034001.html
BMW 525,2004-07,Universalas,2 500 €,Dyzelinas,Automatinė,"2.5 l., 130 kW",436 000 km,Šakiai,https://autoplius.lt/skelbimai/bmw-525-2-5-l-universalas-2004-dyzelinas-29986253.html
BMW 525,2005-12,Universalas,2 850 €,Dyzelinas,Automatinė,"2.5 l., 130 kW",400 000 km,Šiauliai,https://autoplius.lt/skelbimai/bmw-525-2-5-l-universalas-2005-dyzelinas-30034083.html
BMW 525,2006,Universalas,2 950 €,Benzinas,Automatinė,"2.5 l., 160 kW",206 000 km,Kaunas,https://autoplius.lt/skelbimai/bmw-525-2-5-l-universalas-2006-benzinas-29976863.html
BMW 525,2004-08,Sedanas,3 200 €,Dyzelinas,Mechaninė,"2.5 l., 130 kW",,Alytus,https://autoplius.lt/skelbimai/bmw-525-2-5-l-sedanas-2004-dyzelinas-29901714.html
BMW 525,2007-07,Universalas,3 450 €,Dyzelinas,Automatinė,"3.0 l., 145 kW",355 085 km,Marijampolė,https://autoplius.lt/skelbimai/bmw-525-3-0-l-universalas-2007-dyzelinas-30018949.html
BMW 525,2007-12,Sedanas,3 500 €,Dyzelinas,Automatinė,"3.0 l., 145 kW",,Vilnius,https://autoplius.lt/skelbimai/bmw-525-3-0-l-sedanas-2007-dyzelinas-29958709.html
BMW 525,2007-11,Universalas,3 650 €,Dyzelinas,Automatinė,"3.0 l., 145 kW",458 000 km,Kaunas,https://autoplius.lt/skelbimai/bmw-525-3-0-l-universalas-2007-dyzelinas-30048695.html
BMW 525,2007-07,Universalas,3 699 €,Dyzelinas,Automatinė,"3.0 l., 145 kW",356 122 km,Vilnius,https://autoplius.lt/skelbimai/bmw-525-3-0-l-universalas-2007-dyzelinas-29957411.html
BMW 525,2007-06,Universalas,3 700 €,Dyzelinas,Automatinė,"3.0 l., 145 kW",390 000 km,Mažeikiai,https://autoplius.lt/skelbimai/bmw-525-3-0-l-universalas-2007-dyzelinas-30042491.html
BMW 525,2007-12,Universalas,4 350 €,Dyzelinas,Automatinė,"2.5 l., 130 kW",220 282 km,Kaunas,https://autoplius.lt/skelbimai/bmw-525-2-5-l-universalas-2007-dyzelinas-30001311.html
BMW 525,2010-12,Universalas,5 750 €,Dyzelinas,Automatinė,"3.0 l., 150 kW",270 000 km,Utena,https://autoplius.lt/skelbimai/bmw-525-3-0-l-universalas-2010-dyzelinas-29997735.html
BMW 525,2011-04,Universalas,6 000 €,Dyzelinas,Automatinė,"3.0 l., 150 kW",359 000 km,Vilnius,https://autoplius.lt/skelbimai/bmw-525-3-0-l-universalas-2011-dyzelinas-29972421.html
BMW 525,2010,Sedanas,6 200 €,Dyzelinas,Automatinė,"3.0 l., 150 kW",300 012 km,Kėdainiai,https://autoplius.lt/skelbimai/bmw-525-3-0-l-sedanas-2010-dyzelinas-29419948.html
BMW 525,2012-09,Universalas,6 350 €,Dyzelinas,Automatinė,"2.0 l., 160 kW",360 000 km,Vilnius,https://autoplius.lt/skelbimai/bmw-525-2-0-l-universalas-2012-dyzelinas-29997551.html
BMW 525,2010-11,Universalas,6 500 €,Dyzelinas,Automatinė,"3.0 l., 150 kW",343 000 km,Klaipėda,https://autoplius.lt/skelbimai/bmw-525-3-0-l-universalas-2010-dyzelinas-29992507.html
BMW 525,2012-11,Universalas,6 555 €,Dyzelinas,Automatinė,"2.0 l., 160 kW",227 300 km,Utena,https://autoplius.lt/skelbimai/bmw-525-2-0-l-universalas-2012-dyzelinas-30002691.html
BMW 525,2013-10,Universalas,7 350 €,Dyzelinas,Automatinė,"2.0 l., 160 kW",300 300 km,Tauragė,https://autoplius.lt/skelbimai/bmw-525-2-0-l-universalas-2013-dyzelinas-30043013.html
BMW 525,2010-06,Sedanas,7 800 €,Dyzelinas,Automatinė,"3.0 l., 150 kW",290 000 km,Vilnius,https://autoplius.lt/skelbimai/bmw-525-3-0-l-sedanas-2010-dyzelinas-30016601.html
BMW 525,2015-02,Universalas,8 980 €,Dyzelinas,Automatinė,"2.0 l., 160 kW",298 999 km,Kaunas,https://autoplius.lt/skelbimai/bmw-525-2-0-l-universalas-2015-dyzelinas-29991897.html
BMW 525,2014-01,Universalas,8 990 €,Dyzelinas,Automatinė,"2.0 l., 160 kW",290 000 km,Vilnius,https://autoplius.lt/skelbimai/bmw-525-2-0-l-universalas-2014-dyzelinas-29503706.html
BMW 525,2015-02,Universalas,11 299 €,Dyzelinas,Automatinė,"2.0 l., 160 kW",212 042 km,Kaunas,https://autoplius.lt/skelbimai/bmw-525-2-0-l-universalas-2015-dyzelinas-30043691.html
BMW 525,2000-02,Sedanas,750 €,Dyzelinas,Mechaninė,"2.5 l., 105 kW",446 646 km,Kaunas,https://autoplius.lt/skelbimai/bmw-525-2-5-l-sedanas-2000-dyzelinas-30023469.html
BMW 525,1999,Universalas,1 390 €,Dyzelinas,Mechaninė,"2.5 l., 105 kW",244 000 km,Kaunas,https://autoplius.lt/skelbimai/bmw-525-2-5-l-universalas-1999-dyzelinas-26314516.html
BMW 525,2003-06,Sedanas,2 400 €,Dyzelinas,Mechaninė,"2.5 l., 120 kW",406 285 km,Kaunas,https://autoplius.lt/skelbimai/bmw-525-2-5-l-sedanas-2003-dyzelinas-29702683.html
BMW 525,2005-07,Sedanas,2 550 €,Dyzelinas,Automatinė,"2.5 l., 120 kW",,Šiauliai,https://autoplius.lt/skelbimai/bmw-525-2-5-l-sedanas-2005-dyzelinas-30008625.html
BMW 525,2005,Universalas,2 600 €,Dyzelinas,Automatinė,"2.5 l., 130 kW",250 000 km,Vilnius,https://autoplius.lt/skelbimai/bmw-525-2-5-l-universalas-2005-dyzelinas-30017479.html
BMW 525,1988-07,Sedanas,2 800 €,Benzinas,Mechaninė,"2.5 l., 125 kW",302 522 km,Alytus,https://autoplius.lt/skelbimai/bmw-525-2-5-l-sedanas-1988-benzinas-27853595.html
BMW 525,2004-08,Universalas,2 900 €,Dyzelinas,Automatinė,"3.0 l., 130 kW",340 000 km,Šiauliai,https://autoplius.lt/skelbimai/bmw-525-3-0-l-universalas-2004-dyzelinas-30009669.html
BMW 525,1995-06,Universalas,2 900 €,Dyzelinas,Mechaninė,"2.5 l., 105 kW",330 000 km,Alytus,https://autoplius.lt/skelbimai/bmw-525-2-5-l-universalas-1995-dyzelinas-28124722.html
BMW 525,2006-04,Universalas,2 999 €,Dyzelinas,Automatinė,"3.0 l., 170 kW",335 232 km,Marijampolė,https://autoplius.lt/skelbimai/bmw-525-3-0-l-universalas-2006-dyzelinas-29590869.html
BMW 525,2005-01,Sedanas,3 000 €,Dyzelinas,Automatinė,"2.5 l., 130 kW",363 000 km,Vilnius,https://autoplius.lt/skelbimai/bmw-525-2-5-l-sedanas-2005-dyzelinas-29901008.html
BMW 525,2005,Universalas,3 150 €,Dyzelinas,Automatinė,"2.5 l., 130 kW",285 052 km,Klaipėda,https://autoplius.lt/skelbimai/bmw-525-2-5-l-universalas-2005-dyzelinas-24904091.html
